TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ
0.01,1,-0.01,-1.008,0.049,-1.3750992,1.4896908,0.2291832,90.54455274,-0.53858052,-22.16201544
0.02,2,-0.006,-1.003,0.048,-1.3178034,3.2085648,-0.4583664,90.53309358,-0.53858052,-22.13336754
0.03,3,-0.004,-1.003,0.048,-1.2032118,2.6929026,-0.286479,90.51590484,-0.53858052,-22.10471964
0.04,4,-0.003,-1.005,0.049,-1.3178034,2.0626488,-0.3437748,90.50444568,-0.53285094,-22.0875309
0.05,5,-0.004,-1.005,0.048,-1.4896908,1.432395,-0.286479,90.52163442,-0.50993262,-22.08180132
0.06,6,-0.004,-1.004,0.048,-1.6615782,0.7448454,-0.286479,90.4987161,-0.50420304,-22.07607174
0.07,7,-0.005,-1.003,0.051,-1.8907614,0,-0.286479,90.48152736,-0.50420304,-22.07607174
0.08,8,-0.004,-1,0.048,-1.718874,-0.6875496,-0.3437748,90.46433862,-0.49847346,-22.08180132
0.09,9,0,-0.999,0.05,-1.5469866,-1.6615782,-0.4010706,90.44714988,-0.49274388,-22.09899006
0.1,10,0,-1.003,0.056,-1.6042824,-2.3491278,-0.4583664,90.46433862,-0.46982556,-22.12763796
0.11,11,-0.001,-1.004,0.058,-1.8907614,-2.4064236,-0.4583664,90.44714988,-0.46409598,-22.15628586
0.12,12,-0.002,-1.006,0.055,-2.0626488,-2.2345362,-0.5156622,90.42423156,-0.4583664,-22.17920418
0.13,13,-0.002,-1.007,0.054,-2.291832,-2.4064236,-0.3437748,90.40131324,-0.45263682,-22.2021225
0.14,14,-0.003,-1.006,0.055,-2.4064236,-2.5210152,-0.1718874,90.37839492,-0.44690724,-22.22504082
0.15,15,-0.006,-1.007,0.054,-2.7501984,-2.0626488,-0.1718874,90.37839492,-0.44117766,-22.25368872
0.16,16,-0.009,-1.008,0.058,-2.6929026,-1.718874,-0.1718874,90.34974702,-0.43544808,-22.27087746
0.17,17,-0.012,-1.008,0.061,-2.9793816,-1.0886202,-0.1145916,90.32109912,-0.43544808,-22.28233662
0.18,18,-0.01,-1.009,0.06,-3.3231564,-0.6302538,-0.1718874,90.28672164,-0.43544808,-22.2880662
0.19,19,-0.01,-1.008,0.055,-3.6669312,-0.286479,-0.1718874,90.24661458,-0.4297185,-22.2880662
0.2,20,-0.008,-1.005,0.051,-3.8388186,0.1145916,-0.1718874,90.23515542,-0.42398892,-22.29379578
0.21,21,-0.006,-1.005,0.05,-3.8961144,0.2291832,0,90.19504836,-0.42398892,-22.29379578
0.22,22,-0.007,-1.006,0.055,-4.0680018,0,-0.0572958,90.1549413,-0.42398892,-22.29379578
0.23,23,-0.005,-1.006,0.057,-4.5263682,0.4010706,-0.0572958,90.10910466,-0.42398892,-22.2880662
0.24,24,-0.002,-1.005,0.06,-5.156622,0.7448454,-0.1145916,90.05180886,-0.42398892,-22.28233662
0.25,25,-0.002,-1.006,0.064,-5.9014674,1.0313244,-0.1145916,90.02316096,-0.41252976,-22.27660704
0.26,26,-0.002,-1.008,0.058,-6.5317212,1.5469866,0.0572958,89.954406,-0.41252976,-22.2594183
0.27,27,-0.002,-1.009,0.056,-7.161975,2.2345362,0,89.87992146,-0.41825934,-22.24222956
0.28,28,0.001,-1.009,0.052,-7.8495246,2.6929026,0,89.79970734,-0.41825934,-22.21358166
0.29,29,0.003,-1.009,0.053,-8.4797784,3.0939732,-0.1145916,89.71376364,-0.41825934,-22.18493376
0.3,30,0.004,-1.01,0.055,-9.2819196,3.9534102,-0.4010706,89.63354952,-0.40680018,-22.15055628
0.31,31,0.003,-1.011,0.054,-10.026765,4.9274388,-0.5156622,89.53041708,-0.4010706,-22.10471964
