Task Code,Task ID,Description,Trial ID,Fall_onset_frame,Fall_impact_frame
F01,20,Forward fall when trying to sit down,1,190,252
F01,20,Forward fall when trying to sit down,2,153,226
F01,20,Forward fall when trying to sit down,3,190,274
F01,20,Forward fall when trying to sit down,4,153,239
F01,20,Forward fall when trying to sit down,5,150,243
F02,21,Backward fall when trying to sit down,1,253,295
F02,21,Backward fall when trying to sit down,2,390,439
F02,21,Backward fall when trying to sit down,3,330,371
F02,21,Backward fall when trying to sit down,4,263,314
F02,21,Backward fall when trying to sit down,5,273,318
F03,22,lateral fall when trying to sit down,1,188,238
F03,22,lateral fall when trying to sit down,2,151,212
F03,22,lateral fall when trying to sit down,3,193,258
F03,22,lateral fall when trying to sit down,4,191,253
F03,22,lateral fall when trying to sit down,5,240,312
F03,22,lateral fall when trying to sit down,6,250,321
F04,23,Forward fall when trying to get up,1,318,394
F04,23,Forward fall when trying to get up,2,336,410
F04,23,Forward fall when trying to get up,3,293,381
F04,23,Forward fall when trying to get up,4,268,348
F04,23,Forward fall when trying to get up,5,301,368
F05,24,lateral fall when trying to get up,1,268,321
F05,24,lateral fall when trying to get up,2,251,308
F05,24,lateral fall when trying to get up,3,235,295
F05,24,lateral fall when trying to get up,4,251,311
F05,24,lateral fall when trying to get up,5,221,285
F06,25,"Forward fall while sitting, caused by fainting",1,246,332
F06,25,"Forward fall while sitting, caused by fainting",2,266,349
F06,25,"Forward fall while sitting, caused by fainting",3,310,392
F06,25,"Forward fall while sitting, caused by fainting",4,330,421
F07,26,"lateral fall while sitting, caused by fainting",1,241,322
F07,26,"lateral fall while sitting, caused by fainting",2,191,265
F07,26,"lateral fall while sitting, caused by fainting",3,250,336
F07,26,"lateral fall while sitting, caused by fainting",4,303,390
F07,26,"lateral fall while sitting, caused by fainting",5,290,385
F08,27,"Backward fall while sitting, caused by fainting",1,173,225
F08,27,"Backward fall while sitting, caused by fainting",2,233,295
F08,27,"Backward fall while sitting, caused by fainting",3,196,265
F08,27,"Backward fall while sitting, caused by fainting",4,210,283
F08,27,"Backward fall while sitting, caused by fainting",5,235,302
F08,27,"Backward fall while sitting, caused by fainting",6,243,306
F08,27,"Backward fall while sitting, caused by fainting",7,228,282
F09,28,Vertical(forward) fall while walking caused by fainting,1,366,453
F09,28,Vertical(forward) fall while walking caused by fainting,3,395,474
F09,28,Vertical(forward) fall while walking caused by fainting,4,390,481
F09,28,Vertical(forward) fall while walking caused by fainting,5,323,403
F10,29,"Fall while walking, with use of hands in a table to dampen fall, caused by fainting",1,526,578
F10,29,"Fall while walking, with use of hands in a table to dampen fall, caused by fainting",2,496,550
F10,29,"Fall while walking, with use of hands in a table to dampen fall, caused by fainting",3,480,540
F10,29,"Fall while walking, with use of hands in a table to dampen fall, caused by fainting",4,476,532
F10,29,"Fall while walking, with use of hands in a table to dampen fall, caused by fainting",5,516,585
F11,30,Forward fall while walking caused by a trip,1,378,445
F11,30,Forward fall while walking caused by a trip,2,333,405
F11,30,Forward fall while walking caused by a trip,3,330,406
F11,30,Forward fall while walking caused by a trip,4,323,398
F11,30,Forward fall while walking caused by a trip,5,330,406
F12,31,Forward fall while jogging caused by a trip,1,216,273
F12,31,Forward fall while jogging caused by a trip,2,243,305
F12,31,Forward fall while jogging caused by a trip,3,290,356
F12,31,Forward fall while jogging caused by a trip,4,240,335
F12,31,Forward fall while jogging caused by a trip,5,236,329
F12,31,Forward fall while jogging caused by a trip,6,250,342
F13,32,Forward fall while walking caused by a slip,1,310,375
F13,32,Forward fall while walking caused by a slip,2,242,335
F13,32,Forward fall while walking caused by a slip,3,306,372
F13,32,Forward fall while walking caused by a slip,4,303,367
F13,32,Forward fall while walking caused by a slip,5,315,368
F14,33,Forward lateral fall while walking caused by a slip,1,326,374
F14,33,Forward lateral fall while walking caused by a slip,2,338,390
F14,33,Forward lateral fall while walking caused by a slip,3,278,328
F14,33,Forward lateral fall while walking caused by a slip,4,310,355
F14,33,Forward lateral fall while walking caused by a slip,5,291,347
F15,34,Backward fall while walking caused by a slip,1,418,473
F15,34,Backward fall while walking caused by a slip,2,453,507
F15,34,Backward fall while walking caused by a slip,3,410,468
F15,34,Backward fall while walking caused by a slip,4,440,492
F15,34,Backward fall while walking caused by a slip,5,433,484
