S11T20R01	FrameCounter	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	EulerX	EulerY	EulerZ
0.01	1	-0.022	-1.004	0.092	1.8334656	-0.4583664	-0.286479	95.78138886	-0.67036086	-24.350715
0.02	2	-0.023	-1.003	0.092	1.8334656	-0.4010706	-0.286479	95.80430718	-0.66463128	-24.35644458
0.03	3	-0.024	-1.003	0.091	1.8907614	-0.286479	-0.286479	95.82149592	-0.66463128	-24.36217416
0.04	4	-0.023	-1.005	0.089	1.8907614	-0.0572958	-0.1718874	95.83868466	-0.6589017	-24.36217416
0.05	5	-0.023	-1.004	0.089	2.005353	-0.0572958	-0.1145916	95.81003676	-0.67036086	-24.36217416
0.06	6	-0.023	-1.004	0.092	2.0626488	-0.3437748	-0.1145916	95.8272255	-0.67036086	-24.36217416
0.07	7	-0.023	-1.003	0.094	2.005353	-0.4583664	-0.1718874	95.85014382	-0.66463128	-24.36790374
0.08	8	-0.023	-1.002	0.095	1.8907614	-0.5156622	-0.2291832	95.87306214	-0.66463128	-24.37363332
0.09	9	-0.022	-1.003	0.093	1.8334656	-0.4010706	-0.286479	95.89025088	-0.6589017	-24.3793629
0.1	10	-0.023	-1.003	0.094	1.7761698	-0.286479	-0.1718874	95.86160298	-0.67036086	-24.3793629
0.11	11	-0.024	-1.004	0.095	1.8334656	-0.4010706	-0.0572958	95.8845213	-0.66463128	-24.38509248
0.12	12	-0.023	-1.004	0.098	1.7761698	-0.3437748	0	95.90171004	-0.66463128	-24.39082206
0.13	13	-0.023	-1.002	0.1	1.6615782	-0.1718874	0.0572958	95.91889878	-0.67036086	-24.39082206
0.14	14	-0.023	-1.003	0.099	1.6042824	-0.0572958	0.2291832	95.93608752	-0.67036086	-24.39082206
0.15	15	-0.022	-1.003	0.098	1.3750992	-0.1718874	0.1718874	95.90171004	-0.68182002	-24.39655164
0.16	16	-0.022	-1.002	0.096	1.2605076	-0.1718874	0.0572958	95.91889878	-0.68182002	-24.39655164
0.17	17	-0.023	-1.002	0.097	1.6615782	-0.1718874	0.0572958	95.93608752	-0.68182002	-24.39655164
0.18	18	-0.022	-1.002	0.097	1.8907614	-0.1718874	0.1145916	95.95327626	-0.68182002	-24.40228122
0.19	19	-0.022	-1.003	0.098	2.0626488	-0.0572958	0.1718874	95.97619458	-0.68182002	-24.40228122
0.2	20	-0.023	-1.005	0.098	2.2345362	-0.1145916	0.2291832	95.96473542	-0.69327918	-24.40228122
0.21	21	-0.024	-1.006	0.099	2.1199446	-0.2291832	0.1145916	95.98192416	-0.69900876	-24.4080108
0.22	22	-0.025	-1.008	0.099	1.8907614	-0.1718874	0.1145916	96.00484248	-0.69900876	-24.4080108
0.23	23	-0.026	-1.007	0.099	1.6615782	-0.1718874	0.1145916	96.02203122	-0.69900876	-24.4080108
0.24	24	-0.027	-1.008	0.097	1.3750992	-0.3437748	0.0572958	96.03349038	-0.69900876	-24.41374038
0.25	25	-0.027	-1.006	0.098	1.0886202	-0.4583664	0	95.98192416	-0.72192708	-24.42519954
0.26	26	-0.025	-1.004	0.1	1.0886202	-0.4583664	0	95.99338332	-0.72192708	-24.43092912
0.27	27	-0.027	-1.002	0.1	1.0313244	-0.286479	0	96.00484248	-0.72192708	-24.43092912
0.28	28	-0.028	-1.001	0.105	1.0313244	-0.286479	0	96.01630164	-0.72192708	-24.43092912
0.29	29	-0.028	-1.001	0.106	0.9167328	-0.0572958	0	96.0277608	-0.72192708	-24.4366587
0.3	30	-0.028	-1.001	0.104	0.8021412	0.1145916	0	95.95900584	-0.75630456	-24.44238828
0.31	31	-0.027	-1.002	0.101	0.8021412	0.1145916	0.0572958	95.970465	-0.75630456	-24.44238828
0.32	32	-0.028	-1.004	0.102	0.9740286	-0.1145916	0	95.98192416	-0.75630456	-24.44238828
0.33	33	-0.029	-1.002	0.102	1.2032118	-0.2291832	0	95.99338332	-0.75630456	-24.44811786
0.34	34	-0.029	-1.004	0.103	1.2032118	-0.1145916	0	96.00484248	-0.75630456	-24.44811786
0.35	35	-0.028	-1.002	0.102	1.145916	-0.0572958	-0.1145916	95.970465	-0.77922288	-24.45384744
0.36	36	-0.028	-1.002	0.101	0	0.0572958	-0.1718874	95.970465	-0.77922288	-24.45384744
0.37	37	-0.029	-1.002	0.101	-0.3437748	0.1145916	-0.2291832	95.96473542	-0.7734933	-24.45384744
0.38	38	-0.03	-1.002	0.1	-0.1718874	0	-0.286479	95.96473542	-0.7734933	-24.45384744
0.39	39	-0.033	-1.002	0.102	-0.286479	-0.0572958	-0.4010706	95.95900584	-0.76776372	-24.45384744
0.4	40	-0.032	-1	0.103	-0.286479	0	-0.6302538	95.89598046	-0.80787078	-24.47103618
0.41	41	-0.03	-1.001	0.106	-0.4583664	0.2291832	-0.8021412	95.89025088	-0.79641162	-24.4653066
0.42	42	-0.029	-1.002	0.105	-0.5156622	0.2291832	-0.8021412	95.8845213	-0.79068204	-24.45957702
0.43	43	-0.027	-1.004	0.105	-0.5156622	0.1145916	-0.7448454	95.87879172	-0.78495246	-24.45957702
0.44	44	-0.027	-1.006	0.104	-0.4583664	0.1718874	-0.6875496	95.87879172	-0.7734933	-24.45957702
0.45	45	-0.024	-1.004	0.104	-0.4010706	0.3437748	-0.4583664	95.82149592	-0.77922288	-24.45384744
0.46	46	-0.023	-1.004	0.102	-0.1145916	0.286479	-0.1145916	95.81576634	-0.77922288	-24.44811786
0.47	47	-0.021	-1.007	0.1	-0.1145916	0.1718874	0.0572958	95.81576634	-0.77922288	-24.44811786
0.48	48	-0.023	-1.008	0.101	-0.0572958	0	0.1718874	95.81576634	-0.78495246	-24.44811786
0.49	49	-0.025	-1.008	0.103	-0.1718874	0.1718874	0.1145916	95.81003676	-0.78495246	-24.44811786
0.5	50	-0.024	-1.006	0.104	-0.2291832	0.4010706	0.1145916	95.7412818	-0.80787078	-24.44238828
0.51	51	-0.025	-1.003	0.105	-0.1718874	0.4583664	0.1718874	95.7412818	-0.80787078	-24.4366587
0.52	52	-0.023	-1.003	0.104	-0.1145916	0.1718874	0.0572958	95.73555222	-0.80787078	-24.4366587
0.53	53	-0.022	-1.003	0.106	0	-0.1145916	0	95.73555222	-0.80787078	-24.4366587
0.54	54	-0.02	-1.005	0.106	-0.1718874	-0.2291832	-0.0572958	95.73555222	-0.80787078	-24.44238828
0.55	55	-0.019	-1.006	0.104	-0.5156622	-0.1718874	-0.0572958	95.66679726	-0.81360036	-24.4366587
0.56	56	-0.022	-1.001	0.104	-0.572958	-0.1718874	0.0572958	95.66106768	-0.81360036	-24.44238828
0.57	57	-0.024	-0.999	0.102	-0.286479	-0.286479	0.286479	95.66106768	-0.81360036	-24.44238828
0.58	58	-0.027	-0.995	0.102	0	-0.4583664	0.2291832	95.66106768	-0.81932994	-24.44811786
0.59	59	-0.029	-0.996	0.101	0.4010706	-0.3437748	0.1718874	95.66106768	-0.81932994	-24.45384744
0.6	60	-0.032	-0.995	0.104	0.6875496	-0.4010706	0.1718874	95.62096062	-0.87662574	-24.47676576
