TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ
0.01,1,-0.075,-1.001,0.032,-1.145916,-2.0626488,-0.8021412,91.44982638,-3.11689152,-29.27242422
0.02,2,-0.078,-1.002,0.021,-1.8334656,-3.437748,-1.432395,91.43263764,-3.09970278,-29.3068017
0.03,3,-0.075,-1.006,0.019,-1.718874,-3.5523396,-1.5469866,91.4154489,-3.08251404,-29.34117918
0.04,4,-0.075,-1.006,0.012,-1.8907614,-3.4950438,-1.8334656,91.39826016,-3.05959572,-29.37555666
0.05,5,-0.074,-1.006,0.008,-1.6042824,-3.3231564,-1.8907614,91.36388268,-3.04813656,-29.40993414
0.06,6,-0.07,-1.005,0.011,-1.0313244,-3.4950438,-1.8334656,91.3581531,-3.03094782,-29.44431162
0.07,7,-0.062,-1.002,0.017,-0.6875496,-4.1825934,-2.0626488,91.35242352,-3.0080295,-29.48441868
0.08,8,-0.06,-0.998,0.021,-0.5156622,-5.156622,-2.291832,91.35242352,-2.9793816,-29.5359849
0.09,9,-0.06,-0.995,0.022,-0.6875496,-5.9587632,-2.6356068,91.34669394,-2.9507337,-29.5932807
0.1,10,-0.064,-0.993,0.02,-0.6302538,-6.3598338,-2.9220858,91.33523478,-2.9220858,-29.65630608
0.11,11,-0.069,-0.993,0.025,-0.3437748,-6.4744254,-2.9793816,91.33523478,-2.88770832,-29.71933146
0.12,12,-0.067,-0.996,0.026,-0.4010706,-5.72958,-2.8074942,91.33523478,-2.85906042,-29.77662726
0.13,13,-0.065,-0.996,0.021,-0.3437748,-5.9014674,-2.5210152,91.33523478,-2.83041252,-29.83392306
0.14,14,-0.062,-0.996,0.019,-0.1718874,-6.4744254,-2.4064236,91.33523478,-2.80176462,-29.89694844
0.15,15,-0.059,-0.995,0.023,-0.1718874,-6.9327918,-2.291832,91.3295052,-2.7788463,-29.9657034
