TimeStamp(s)	FrameCounter	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	EulerX	EulerY	EulerZ
0.01	1	-0.009	-1.008	0.092	0.4583664	-5.0993262	0.5156622	94.30315722	-0.7448454	-19.71548478
0.02	2	0.015	-1.012	0.074	0.4010706	-5.8441716	0.6302538	94.3088868	-0.7448454	-19.77851016
0.03	3	0.014	-1.014	0.073	-1.0886202	-6.875496	0.9167328	94.29742764	-0.75057498	-19.84153554
0.04	4	0.013	-1.015	0.077	-2.5210152	-7.6203414	1.145916	94.27450932	-0.75057498	-19.92174966
0.05	5	0.01	-1.015	0.082	-3.4950438	-7.9068204	1.2032118	94.23440226	-0.75057498	-19.9962342
0.06	6	0.004	-1.016	0.085	-3.8961144	-7.9068204	1.2605076	94.20002478	-0.75630456	-20.07644832
0.07	7	0.002	-1.016	0.085	-4.4117766	-7.5630456	1.4896908	94.15418814	-0.76203414	-20.15666244
0.08	8	0.001	-1.011	0.083	-4.9274388	-7.3338624	1.718874	94.1083515	-0.7734933	-20.23114698
0.09	9	0.002	-1.005	0.08	-5.2712136	-7.0473834	2.005353	94.05678528	-0.78495246	-20.29990194
0.1	10	0.006	-1.003	0.08	-5.5003968	-6.589017	2.1199446	93.99948948	-0.79641162	-20.3686569
0.11	11	0.009	-1.005	0.08	-5.6722842	-6.589017	2.1772404	93.94219368	-0.80787078	-20.43168228
0.12	12	0.01	-1.008	0.08	-5.9014674	-6.7609044	2.1772404	93.88489788	-0.82505952	-20.50616682
0.13	13	0.008	-1.01	0.078	-5.9014674	-7.3338624	2.1772404	93.82760208	-0.84224826	-20.58065136
0.14	14	0.007	-1.011	0.079	-6.1306506	-7.9641162	2.1772404	93.7645767	-0.85370742	-20.66086548
0.15	15	0.005	-1.011	0.082	-6.5317212	-8.4797784	2.291832	93.70155132	-0.86516658	-20.74680918
0.16	16	0.002	-1.007	0.085	-7.2765666	-8.4224826	2.1199446	93.63279636	-0.88235532	-20.83275288
0.17	17	0.002	-1.001	0.085	-7.734933	-8.0787078	1.9480572	93.55258224	-0.89381448	-20.912967
0.18	18	0	-0.998	0.083	-7.8495246	-7.734933	1.8334656	93.4780977	-0.90527364	-20.99318112
0.19	19	-0.004	-0.995	0.083	-7.734933	-7.3911582	1.6615782	93.39788358	-0.9167328	-21.06766566
0.2	20	-0.004	-0.997	0.086	-7.6776372	-7.0473834	1.6042824	93.32339904	-0.92246238	-21.13642062
0.21	21	-0.005	-0.999	0.09	-8.1360036	-6.589017	1.3750992	93.24318492	-0.93392154	-21.20517558
0.22	22	-0.005	-1.004	0.096	-9.1100322	-5.8441716	1.432395	93.15151164	-0.93965112	-21.26247138
0.23	23	-0.003	-1.009	0.094	-10.313244	-5.3285094	1.3178034	93.0483792	-0.95111028	-21.31976718
0.24	24	0.001	-1.013	0.089	-11.4018642	-5.3285094	1.145916	92.9337876	-0.95683986	-21.3713334
0.25	25	0.004	-1.011	0.075	-12.2613012	-5.6149884	1.0886202	92.81346642	-0.96256944	-21.4286292
0.26	26	0.004	-1.005	0.064	-12.7196676	-6.2452422	0.6875496	92.68741566	-0.96256944	-21.49165458
0.27	27	0.001	-0.994	0.06	-12.6623718	-6.4744254	0.0572958	92.5613649	-0.96256944	-21.56040954
0.28	28	-0.006	-0.984	0.058	-12.6623718	-6.302538	-0.4583664	92.42958456	-0.95683986	-21.62343492
0.29	29	-0.014	-0.971	0.05	-12.1467096	-6.4171296	-0.9740286	92.30926338	-0.93965112	-21.6864603
0.3	30	-0.019	-0.961	0.044	-11.2872726	-7.0473834	-1.432395	92.19467178	-0.92246238	-21.75521526
0.31	31	-0.022	-0.954	0.042	-10.026765	-8.0787078	-1.8334656	92.09726892	-0.89954406	-21.83542938
0.32	32	-0.023	-0.95	0.041	-8.8235532	-9.5683986	-2.2345362	92.01132522	-0.87089616	-21.93283224
0.33	33	-0.026	-0.953	0.041	-8.1360036	-11.0007936	-2.578311	91.9311111	-0.84224826	-22.04169426
0.34	34	-0.028	-0.957	0.04	-7.6203414	-11.8029348	-2.9793816	91.85662656	-0.8021412	-22.15628586
0.35	35	-0.027	-0.969	0.038	-7.161975	-11.8602306	-3.3804522	91.78214202	-0.76203414	-22.27660704
0.36	36	-0.02	-0.992	0.039	-6.875496	-10.9434978	-3.5523396	91.71338706	-0.72192708	-22.38546906
0.37	37	-0.01	-1.018	0.042	-6.3598338	-9.6829902	-3.2658606	91.65036168	-0.6875496	-22.47714234
0.38	38	0	-1.047	0.051	-5.7868758	-9.5111028	-2.005353	91.59879546	-0.6589017	-22.5745452
0.39	39	0.003	-1.07	0.061	-5.2139178	-10.4851314	0	91.54722924	-0.65317212	-22.67767764
0.4	40	0.001	-1.08	0.077	-4.8128472	-12.1467096	2.1772404	91.50712218	-0.66463128	-22.79799882
0.41	41	-0.002	-1.077	0.087	-5.156622	-14.037471	4.2398892	91.45555596	-0.69900876	-22.93550874
0.42	42	-0.01	-1.062	0.089	-6.0733548	-16.7876694	5.6722842	91.39826016	-0.75057498	-23.10739614
0.43	43	-0.021	-1.039	0.094	-6.5317212	-19.6524594	6.1879464	91.33523478	-0.8021412	-23.30220186
0.44	44	-0.032	-1.019	0.099	-6.1306506	-22.0015872	6.1879464	91.28366856	-0.85370742	-23.52565548
0.45	45	-0.045	-1.003	0.106	-5.6722842	-23.8350528	5.72958	91.23783192	-0.89954406	-23.76056826
0.46	46	-0.061	-0.994	0.116	-5.8441716	-25.6685184	5.3285094	91.1862657	-0.9453807	-24.01266978
0.47	47	-0.08	-0.986	0.136	-6.1306506	-27.4446882	4.9274388	91.13469948	-0.97975818	-24.28768962
0.48	48	-0.103	-0.979	0.161	-6.302538	-28.1895336	4.297185	91.07740368	-1.00840608	-24.56843904
0.49	49	-0.125	-0.978	0.179	-7.0473834	-27.4446882	3.4950438	91.0143783	-1.0313244	-24.84345888
0.5	50	-0.143	-0.979	0.172	-7.9641162	-25.3820394	2.5210152	90.9570825	-1.06570188	-25.0955604
0.51	51	-0.151	-0.985	0.165	-8.59437	-22.1734746	1.5469866	90.87686838	-1.07143146	-25.31901402
0.52	52	-0.15	-0.998	0.169	-9.0527364	-18.5065434	0.9167328	90.79092468	-1.07143146	-25.50236058
0.53	53	-0.141	-1.011	0.177	-9.7975818	-14.4385416	0.7448454	90.69352182	-1.07716104	-25.64560008
0.54	54	-0.13	-1.018	0.187	-10.0840608	-10.7143146	0.9167328	90.59611896	-1.08289062	-25.7544621
0.55	55	-0.116	-1.024	0.193	-10.1413566	-7.2192708	1.3178034	90.527364	-1.11153852	-25.82321706
0.56	56	-0.104	-1.03	0.193	-10.4851314	-4.6982556	2.1199446	90.41850198	-1.12872726	-25.87478328
0.57	57	-0.086	-1.035	0.187	-11.6310474	-3.4950438	3.0939732	90.30391038	-1.16310474	-25.90916076
0.58	58	-0.069	-1.032	0.172	-13.3499214	-3.0939732	3.8388186	90.17213004	-1.19748222	-25.94353824
0.59	59	-0.054	-1.029	0.148	-15.1260912	-3.2085648	4.297185	90.01743138	-1.24331886	-25.97791572
0.6	60	-0.041	-1.021	0.123	-16.7303736	-4.2398892	4.4690724	89.86273272	-1.2891555	-26.01802278
0.61	61	-0.035	-1.007	0.107	-18.1054728	-6.0733548	4.2398892	89.67938616	-1.32926256	-26.08104816
0.62	62	-0.037	-0.988	0.098	-18.8503182	-8.7662574	3.6669312	89.49031002	-1.36936962	-26.17272144
0.63	63	-0.045	-0.968	0.094	-19.0795014	-11.5164558	2.6356068	89.30123388	-1.39228794	-26.28731304
0.64	64	-0.066	-0.949	0.084	-19.0222056	-13.6364004	1.3178034	89.11788732	-1.4037471	-26.42482296
0.65	65	-0.099	-0.942	0.076	-18.5638392	-15.2979786	0.0572958	88.94027034	-1.41520626	-26.57952162
0.66	66	-0.13	-0.949	0.07	-19.3086846	-16.1001198	-0.9167328	88.7511942	-1.40947668	-26.73994986
0.67	67	-0.157	-0.964	0.063	-21.4286292	-15.5271618	-1.432395	88.53919974	-1.39801752	-26.9003781
0.68	68	-0.17	-0.978	0.063	-23.9496444	-13.3499214	-1.4896908	88.29855738	-1.38082878	-27.03215844
0.69	69	-0.173	-0.988	0.059	-26.642547	-10.8289062	-1.0886202	88.0349967	-1.3750992	-27.14102046
0.7	70	-0.17	-0.987	0.054	-28.4760126	-8.59437	-0.572958	87.75424728	-1.38655836	-27.23269374
0.71	71	-0.16	-0.976	0.047	-28.4760126	-6.9327918	-0.2291832	87.46776828	-1.38655836	-27.30717828
0.72	72	-0.152	-0.967	0.046	-26.929026	-6.4171296	0	87.19847802	-1.39228794	-27.37593324
0.73	73	-0.145	-0.958	0.078	-24.0069402	-6.0733548	-0.3437748	86.95783566	-1.39228794	-27.43895862
0.74	74	-0.14	-0.96	0.092	-18.4492476	-6.3598338	-0.6875496	86.76875952	-1.38655836	-27.501984
0.75	75	-0.134	-0.971	0.102	-12.9488508	-6.589017	-1.145916	86.67135666	-1.4037471	-27.57073896
0.76	76	-0.132	-0.998	0.135	-11.6310474	-4.5263682	-1.432395	86.55676506	-1.39228794	-27.62230518
0.77	77	-0.131	-1.023	0.139	-13.464513	-1.2032118	-1.6615782	86.41925514	-1.3750992	-27.63376434
0.78	78	-0.137	-1.04	0.132	-14.2093584	1.0313244	-1.6615782	86.27601564	-1.35791046	-27.62803476
0.79	79	-0.147	-1.052	0.133	-14.037471	2.9220858	-1.6615782	86.13277614	-1.3464513	-27.59938686
0.8	80	-0.154	-1.056	0.129	-14.9542038	5.0420304	-1.7761698	86.00672538	-1.3464513	-27.55355022
0.81	81	-0.16	-1.051	0.117	-15.8709366	6.589017	-2.291832	85.84056756	-1.32353298	-27.49052484
0.82	82	-0.164	-1.043	0.12	-16.042824	7.161975	-3.3231564	85.67440974	-1.2891555	-27.42749946
0.83	83	-0.166	-1.04	0.14	-14.9542038	8.1360036	-4.583664	85.51971108	-1.23758928	-27.34728534
0.84	84	-0.155	-1.043	0.157	-12.3758928	9.9694692	-5.5576926	85.39366032	-1.18029348	-27.25561206
0.85	85	-0.14	-1.055	0.171	-10.6570188	12.2040054	-6.4744254	85.30771662	-1.12299768	-27.14102046
0.86	86	-0.129	-1.065	0.181	-10.5424272	14.4385416	-7.1046792	85.1988546	-1.04278356	-27.00351054
0.87	87	-0.116	-1.068	0.175	-10.1986524	16.1574156	-7.448454	85.08999258	-0.96256944	-26.85454146
0.88	88	-0.104	-1.075	0.155	-9.6256944	17.0741484	-7.1046792	84.98686014	-0.88235532	-26.68838364
0.89	89	-0.1	-1.071	0.117	-9.8548776	15.5844576	-5.7868758	84.87799812	-0.81932994	-26.54514414
0.9	90	-0.091	-1.058	0.095	-9.9121734	11.6883432	-4.6409598	84.80351358	-0.7734933	-26.43055254
0.91	91	-0.067	-1.039	0.061	-10.599723	7.448454	-4.4117766	84.69465156	-0.72765666	-26.36179758
0.92	92	-0.038	-1.005	0.043	-10.3705398	2.2345362	-4.9847346	84.58578954	-0.67609044	-26.34460884
0.93	93	-0.016	-0.964	0.069	-7.448454	-3.7815228	-6.5317212	84.511305	-0.61306506	-26.39044548
0.94	94	-0.013	-0.934	0.112	-3.7815228	-8.021412	-8.5370742	84.47692752	-0.53285094	-26.47638918
0.95	95	-0.016	-0.93	0.128	-1.432395	-9.1100322	-9.5683986	84.50557542	-0.44690724	-26.57379204
0.96	96	0.01	-0.993	0.083	-3.151269	-8.4797784	-8.6516658	84.47119794	-0.36669312	-26.66546532
0.97	97	0.076	-1.124	0.048	-8.1360036	-10.886202	-5.3285094	84.39098382	-0.32085648	-26.78005692
0.98	98	0.096	-1.237	0.052	-5.6722842	-25.3820394	1.8334656	84.3394176	-0.35523396	-27.02642886
0.99	99	0.079	-1.318	0.006	-2.4637194	-33.518043	7.448454	84.32222886	-0.45263682	-27.35301492
1	100	0.079	-1.379	-0.13	-9.3392154	-31.3980984	12.8342592	84.23055558	-0.6016059	-27.65095308
1.01	101	0.108	-1.405	-0.216	-11.6310474	-32.4867186	19.1367972	84.12169356	-0.81932994	-27.95462082
1.02	102	0.074	-1.3	-0.163	-0.572958	-41.1383844	22.0015872	84.12742314	-1.06570188	-28.33850268
1.03	103	-0.012	-1.089	-0.053	9.167328	-46.8106686	17.5898106	84.23628516	-1.27196676	-28.77968034
1.04	104	-0.11	-0.934	-0.02	9.167328	-46.3523022	9.2819196	84.34514718	-1.39801752	-29.22658758
1.05	105	-0.172	-0.872	-0.059	9.0527364	-42.3415962	0.6302538	84.4540092	-1.44385416	-29.64484692
1.06	106	-0.172	-0.857	-0.101	8.4797784	-32.658606	-9.0527364	84.55141206	-1.3750992	-29.97716256
